,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
211,经,"<span class=""tone1"">经</span>","<span class=""tone1"">jīng</span><!--jing-->","to pass through; through, via","<span class=""tone1"">经</span><span class=""tone4"">济</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone4"">jì</span> － economy}}","<span class=""tone3"">已</span><span class=""tone1"">经</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone1"">jīng</span> － already}}","<span class=""tone1"">经</span><span class=""tone4"">过</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone4"">guò</span> － pass; go through}}","<span class=""tone1"">经</span><span class=""tone4"">验</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone4"">yàn</span> － experience; go through}}",,"我每天<span class=""highlight"">经</span>过这家店。",I pass by this shop every day.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32463.gif"" alt=""经""style=""width:75px;height:75px;""/>",15 CharSet,data/sounds/oddcast-d7942808-5b0c7398-9a12b044-a3498714-effc6499.wav,jīng,jīng,Tone 1 ( ̄)
212,头,"<span class=""tone2"">头</span>","<span class=""tone2"">tóu</span><!--tou-->","foremost; head (literal); chief; {MW} Cattle, sheep","<span class=""tone3"">点</span><span class=""tone2"">头</span>{{c1:: － <span class=""tone3"">diǎn</span><span class=""tone2"">tóu</span> － nod}}","<span class=""tone1"">钟</span><span class=""tone2"">头</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone2"">tóu</span> － hour}}","<span class=""tone4"">弹</span><span class=""tone2"">头</span>{{c1:: － <span class=""tone4"">dàn</span><span class=""tone2"">tóu</span> － warhead}}",,,"这里是卸货码<span class=""highlight"">头</span>。",This is the wharf for unloading goods.,Zhèli shì xièhuò mǎtou.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22836.gif"" alt=""头""style=""width:75px;height:75px;""/>",15 CharSet,data/sounds/oddcast-a50e9193-8dfa05b8-12b44aa5-d6457721-9fc649ef.wav,tóu,tóu,Tone 2 ( ́)
213,买,"<span class=""tone3"">买</span>","<span class=""tone3"">mǎi</span><!--mai-->",to buy,"<span class=""tone3"">买</span><span class=""tone4"">不</span><span class=""tone2"">着</span>{{c1:: － <span class=""tone3"">mǎi</span><span class=""tone4"">bù</span><span class=""tone2"">zháo</span> － not for sale}}",,,,,"我<span class=""highlight"">买</span>的股票赚钱了。",I've earned money from my stocks.,Wǒ mǎi de gǔpiào zhuànqián le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20080.gif"" alt=""买"" style=""width:75px;height:75px;"">",15 CharSet,data/sounds/oddcast-fc7cc57e-b0721b63-d642d453-43218ef8-7a4be637.wav,mǎi,mǎi,Tone 3 ( ̌)
214,卖,"<span class=""tone4"">卖</span>","<span class=""tone4"">mài</span><!--mai-->",to sell,"<span class=""tone1"">拍</span><span class=""tone4"">卖</span>{{c1:: － <span class=""tone1"">pāi</span><span class=""tone4"">mài</span> － auction}}","<span class=""tone4"">卖</span><span class=""tone2"">国</span>{{c1:: － <span class=""tone4"">mài</span><span class=""tone2"">guó</span> － traitorous}}","<span class=""tone4"">卖</span><span class=""tone2"">完</span>{{c1:: － <span class=""tone4"">mài</span><span class=""tone2"">wán</span> － sold out}}",,,"毒品贩<span class=""highlight"">卖</span>是违法的。",Selling drugs is illegal.,Dúpǐn fànmài shì wéifǎ de.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21334.gif"" alt=""卖""style=""width:75px;height:75px;""/>",15 CharSet,data/sounds/oddcast-8f4f18bc-530d3093-59e34f0f-afaf5f01-cc14abe5.wav,mài,mài,Tone 4 ( ̀)
215,读,"<span class=""tone2"">读</span>","<span class=""tone2"">dú</span><!--du-->",to read,"<span class=""tone2"">读</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone2"">dú</span><span class=""tone1"">shū</span> － reading}}","<span class=""tone4"">阅</span><span class=""tone2"">读</span>{{c1:: － <span class=""tone4"">yuè</span><span class=""tone2"">dú</span> － read}}",,,,"他在宣<span class=""highlight"">读</span>政府咨文。",He's delivering the chief executive's report on affairs of state.,Tā zài xuāndú zhèngfǔ zīwén.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35835.gif"" alt=""读""style=""width:75px;height:75px;""/>",15 CharSet,data/sounds/oddcast-9fe370c0-52b489d3-5bb88433-611d776e-6106ebff.wav,dú,dú,Tone 2 ( ́)
216,实,"<span class=""tone2"">实</span>","<span class=""tone2"">shí</span><!--shi-->",real,"<span class=""tone2"">其</span><span class=""tone2"">实</span>{{c1:: － <span class=""tone2"">qí</span><span class=""tone2"">shí</span> － in reality; as a matter of fact; actually}}","<span class=""tone2"">实</span><span class=""tone2"">习</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone2"">xí</span> － to intern}}","<span class=""tone2"">实</span><span class=""tone4"">在</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone4"">zài</span> － true honest; really}}","<span class=""tone2"">实</span><span class=""tone2"">行</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone2"">xíng</span> － to implement}}","<span class=""tone4"">现</span><span class=""tone2"">实</span>{{c1:: － <span class=""tone4"">xiàn</span><span class=""tone2"">shí</span> － reality; realistic; practical}}","她正在做<span class=""highlight"">实</span>验。",She's conducting an experiment.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23454.gif"" alt=""实""style=""width:75px;height:75px;""/>",15 CharSet,data/sounds/oddcast-d5e7dae9-f72a9447-f01e4376-e612f653-1f521ca7.wav,shí,shí,Tone 2 ( ́)
217,旨,"<span class=""tone3"">旨</span>","<span class=""tone3"">zhǐ</span><!--zhi-->",purpose,"<span class=""tone1"">宗</span><span class=""tone3"">旨</span>{{c1:: － <span class=""tone1"">zōng</span><span class=""tone3"">zhǐ</span> － aim; purpose}}","<span class=""tone3"">旨</span><span class=""tone4"">在</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone4"">zài</span> － to have as it's purpose}}",,,,"他不敢弗逆父母的意<span class=""highlight"">旨</span>。",He dare not go against his parents wishes.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26088.gif"" alt=""旨""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-f93277e4-40d065e8-f813556a-26128c9a-d4f5bdec.wav,zhǐ,zhǐ,Tone 3 ( ̌)
218,指,"<span class=""tone3"">指</span>","<span class=""tone3"">zhǐ</span><!--zhi-->",to point at; finger,"<span class=""tone3"">指</span><span class=""tone3"">导</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone3"">dǎo</span> － to guide; to direct}}","<span class=""tone3"">指</span><span class=""tone5"">甲</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone5"">jia</span> － fingernail}}",,,,"手<span class=""highlight"">指</span>甲太长了。",His fingernails are too long.,Shǒuzhǐjia tài cháng le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25351.gif"" alt=""指""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-2d60255b-e92b60c0-e4986334-1ff3b26e-e5d21a48.wav,zhǐ,zhǐ,Tone 3 ( ̌)
219,论,"<span class=""tone4"">论</span>","<span class=""tone4"">lùn</span><!--lun-->",discuss,"<span class=""tone3"">讨</span><span class=""tone4"">论</span>{{c1:: － <span class=""tone3"">tǎo</span><span class=""tone4"">lùn</span> － discuss}}","<span class=""tone4"">论</span><span class=""tone2"">文</span>{{c1:: － <span class=""tone4"">lùn</span><span class=""tone2"">wén</span> － essay; thesis}}",,,,"这篇<span class=""highlight"">论</span>文不合格。",This paper fails to meet the standard.,Zhè piān lùnwén bù hégé.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35770.gif"" alt=""论""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-50aa6dc7-bcd2a88b-1f78a13c-66ae438a-b6f7d8ac.wav,lùn,lùn,Tone 4 ( ̀)
220,认,"<span class=""tone4"">认</span>","<span class=""tone4"">rèn</span><!--ren-->",to know; to recongnize,"<span class=""tone4"">认</span><span class=""tone1"">真</span>{{c1:: － <span class=""tone4"">rèn</span><span class=""tone1"">zhēn</span> － serious}}","<span class=""tone4"">认</span><span class=""tone5"">识</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone4"">rèn</span><span class=""tone5"">shi</span><span class=""tone4"">dào</span> － recognizing}}","<span class=""tone4"">认</span><span class=""tone2"">为</span>{{c1:: － <span class=""tone4"">rèn</span><span class=""tone2"">wéi</span> － think}}","<span class=""tone4"">认</span><span class=""tone5"">得</span>{{c1:: － <span class=""tone4"">rèn</span><span class=""tone5"">de</span> － recognize}}",,"你<span class=""highlight"">认</span>为怎么样？",What do you think?,Nǐ rènwéi zěnmeyàng?,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35748.gif"" alt=""认""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-2dc0c0e2-37d4c788-c72d3762-793bca14-c20cf814.wav,rèn,rèn,Tone 4 ( ̀)
221,只,"<span class=""tone3"">只</span> / <span class=""tone1"">只</span>","<span class=""tone3"">zhǐ</span> / <span class=""tone1"">zhī</span><!--zhi / zhi-->",only / one of a pair,"<span class=""tone3"">只</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone3"">hǎo</span> － have to}}","<span class=""tone3"">只</span><span class=""tone4"">要</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone4"">yào</span> － as long as}}","<span class=""tone3"">只</span><span class=""tone4"">是</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone4"">shì</span> － just}}","<span class=""tone3"">只</span><span class=""tone3"">有</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone3"">yǒu</span> － only}}",,"这<span class=""highlight"">只</span>猫的爪子是白的。",The cat's paws are white.,Zhè zhī māo de zhuǎzi shì bái de.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21482.gif"" alt=""只""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-62e85c83-c3769d6f-98e144da-11b06448-9ff46fbb.wav,zhǐ,zhǐ,Tone 3 ( ̌)
222,织,"<span class=""tone1"">织</span>","<span class=""tone1"">zhī</span><!--zhi-->",weave,"<span class=""tone3"">组</span><span class=""tone1"">织</span>{{c1:: － <span class=""tone3"">zǔ</span><span class=""tone1"">zhī</span> － to organize; to form; organization}}","<span class=""tone3"">纺</span><span class=""tone1"">织</span>{{c1:: － <span class=""tone3"">fǎng</span><span class=""tone1"">zhī</span> － spinning and weaving}}","<span class=""tone1"">织</span><span class=""tone3"">女</span>{{c1:: － <span class=""tone1"">zhī</span><span class=""tone3"">nǚ</span> － weaving maid}}",,,"组<span class=""highlight"">织</span>关系带来了吗？",Have you brought your membership credentials with you?,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32455.gif"" alt=""织""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-8f8764ec-688cdf62-6200f554-d3cc1ca0-0d8c766a.wav,zhī,zhī,Tone 1 ( ̄)
223,识,"<span class=""tone2"">识</span>","<span class=""tone2"">shí</span><!--shi-->",to know; to recognize; knowledge,"<span class=""tone4"">认</span><span class=""tone5"">识</span>{{c1:: － <span class=""tone4"">rèn</span><span class=""tone5"">shi</span> － to know; to understand; to recognize}}",,,,,"病人的意<span class=""highlight"">识</span>还没有清醒。",The patient hasn't regained consciousness yet.,Bìngrén de yìshi hái méiyǒu qīngxǐng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35782.gif"" alt=""识""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-c3809fcb-27ff6338-678054b9-8c105db4-755b0a2f.wav,shí,shí,Tone 2 ( ́)
224,音,"<span class=""tone1"">音</span>","<span class=""tone1"">yīn</span><!--yin-->",sound,"<span class=""tone1"">音</span><span class=""tone4"">乐</span>{{c1:: － <span class=""tone1"">yīn</span><span class=""tone4"">yuè</span> － music}}",,,,,"他已经很久没有收到她的<span class=""highlight"">音</span>信。",He hasn't heard from her for quite a long time.,Tā yǐjing hěn jiǔ méiyǒu shōudào tā de yīnxìn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38899.gif"" alt=""音""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-24b9d690-ec5cf5be-7315f7d7-a797bc45-22570b7c.wav,yīn,yīn,Tone 1 ( ̄)
225,意,"<span class=""tone4"">意</span>","<span class=""tone4"">yì</span><!--yi-->",idea,"<span class=""tone4"">意</span><span class=""tone5"">思</span>{{c1:: － <span class=""tone4"">yì</span><span class=""tone5"">si</span> － meaning}}","<span class=""tone4"">意</span><span class=""tone2"">识</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone4"">yì</span><span class=""tone2"">shí</span><span class=""tone4"">dào</span> － to be aware of}}",,,,"你们明白我的<span class=""highlight"">意</span>思了吗？",Do you understand what I mean?,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24847.gif"" alt=""意""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-014fca54-58fc3271-92c23289-408580b8-0e0b472a.wav,yì,yì,Tone 4 ( ̀)
226,成,"<span class=""tone2"">成</span>","<span class=""tone2"">chéng</span><!--cheng-->",to turn into; to become,"<span class=""tone2"">成</span><span class=""tone3"">长</span>{{c1:: － <span class=""tone2"">chéng</span><span class=""tone3"">zhǎng</span> － to grow up}}","<span class=""tone2"">成</span><span class=""tone2"">为</span>{{c1:: － <span class=""tone2"">chéng</span><span class=""tone2"">wéi</span> － become; turn into}}","<span class=""tone2"">完</span><span class=""tone2"">成</span>{{c1:: － <span class=""tone2"">wán</span><span class=""tone2"">chéng</span> － accomplish; complete}}","<span class=""tone2"">成</span><span class=""tone1"">功</span>{{c1:: － <span class=""tone2"">chéng</span><span class=""tone1"">gōng</span> － succeed; success}}",,"他们取得了<span class=""highlight"">成</span>功。",They were very successful.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25104.gif"" alt=""成""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-9be9556e-8a03b819-7581968b-895dd8ef-9b966498.wav,chéng,chéng,Tone 2 ( ́)
227,者,"<span class=""tone3"">者</span>","<span class=""tone3"">zhě</span><!--zhe-->",or; specialist,"<span class=""tone4"">作</span><span class=""tone3"">者</span>{{c1:: － <span class=""tone4"">zuò</span><span class=""tone3"">zhě</span> － Author}}","<span class=""tone4"">或</span><span class=""tone3"">者</span>{{c1:: － <span class=""tone4"">huò</span><span class=""tone3"">zhě</span> － or}}",,,,"我喝果汁或<span class=""highlight"">者</span>咖啡。",I drink juice or coffee.,Wǒ hē guǒ zhī huò zhě kā fēi.<!--Wo he guo zhi huo zhe ka fei.-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32773.gif"" alt=""者""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-fb830ebf-8bf0149e-0fb6e229-1c51769f-4e57ed62.wav,zhě,zhě,Tone 3 ( ̌)
228,都,"<span class=""tone1"">都</span> / <span class=""tone1"">都</span>","<span class=""tone1"">dōu</span> / <span class=""tone1"">dū</span><!--dou / du-->",both; all / metropolis,"<span class=""tone3"">首</span><span class=""tone1"">都</span>{{c1:: － <span class=""tone3"">shǒu</span><span class=""tone1"">dū</span> － Capital City}}","<span class=""tone1"">都</span><span class=""tone4"">市</span>{{c1:: － <span class=""tone1"">dū</span><span class=""tone4"">shì</span> － city}}<br />","<span class=""tone2"">连</span> A <span class=""tone1"">都</span> B{{c1:: － <span class=""tone2"">lián</span> A <span class=""tone1"">dōu</span> B － even A is/does B}}",,,"大家<span class=""highlight"">都</span>到了吗？",Has everyone arrived?,dà jiā dōu dào le ma ？<!--da jia dou dao le ma ？-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/37117.gif"" alt=""都""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-19a2cfdb-ed5d47e6-56de1d0f-aa2b753c-69776460.wav,dōu,dōu,Tone 1 ( ̄)
229,猪,"<span class=""tone1"">猪</span>","<span class=""tone1"">zhū</span><!--zhu-->",pig,"<span class=""tone1"">猪</span><span class=""tone4"">肉</span>{{c1:: － <span class=""tone1"">zhū</span><span class=""tone4"">ròu</span> － Pork}}",,,,,"我不爱吃<span class=""highlight"">猪</span>肝。",I don't like eating pig's liver.,Wǒ bù ài chī zhūgān.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29482.gif"" alt=""猪""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-f0f402c6-a9668d70-7f7ea79b-83db4648-0af40996.wav,zhū,zhū,Tone 1 ( ̄)
230,老,"<span class=""tone3"">老</span>","<span class=""tone3"">lǎo</span><!--lao-->",old,"<span class=""tone3"">老</span><span class=""tone5"">实</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone5"">shi</span> － Honest}}","<span class=""tone3"">老</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone2"">rén</span> － Old person}}",,,,"他<span class=""highlight"">老</span>了，走路走不垮了。","He's getting old, he can no longer walk fast.",tā lǎo le ， zǒu lù zǒu bù kuǎ le 。<!--ta lao le ， zou lu zou bu kua le 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32769.gif"" alt=""老""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-8a82dca2-dae7b8da-0893838c-de6a136d-c4f93219.wav,lǎo,lǎo,Tone 3 ( ̌)
231,教,"<span class=""tone1"">教</span>","<span class=""tone1"">jiāo</span><!--jiao-->",to teach,"<span class=""tone4"">教</span><span class=""tone2"">学</span>{{c1:: － <span class=""tone4"">jiào</span><span class=""tone2"">xué</span> － teaching}}",,,,,"老师<span class=""highlight"">教</span>我们新单词。",The teacher is teaching us some new words.,Lǎoshī jiāo wǒmen xīn dāncí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25945.gif"" alt=""教""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-87dc9771-02cadb81-4ba4b56d-5ff4afc3-c1cc8928.wav,jiāo,jiāo,Tone 1 ( ̄)
232,然,"<span class=""tone2"">然</span>","<span class=""tone2"">rán</span><!--ran-->",however,"<span class=""tone1"">当</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone1"">dāng</span><span class=""tone2"">rán</span> － of course}}然后{{c1:: － <span class=""tone1"">dāng</span><span class=""tone2"">rán</span> － after, and then}}","<span class=""tone4"">必</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone4"">bì</span><span class=""tone2"">rán</span> － inevitable}}","<span class=""tone4"">不</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone2"">rán</span> － otherwise}}",,,"虽<span class=""highlight"">然</span>跑得很累，但是很多人都没有放弃。","Though exhausted from running, many refused to give up.","Suīrán pǎo de hěnlèi, dànshì hěn duō rén dōuméiyǒu fàngqì.<!--Sui ran pao de hen lei, dan shi hen duo ren dou mei you fang qi.-->","<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28982.gif"" alt=""然""style=""width:75px;height:75px;""/>",16 CharSet,data/sounds/oddcast-b67129b3-01619d7a-85789588-622fd8cc-9b4a1879.wav,rán,rán,Tone 2 ( ́)
233,当,"<span class=""tone1"">当</span>","<span class=""tone1"">dāng</span><!--dang-->",act as; to work as; in one's presence,"<span class=""tone1"">当</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone1"">dāng</span><span class=""tone2"">rán</span> － of course}}","<span class=""tone1"">当</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone1"">dāng</span><span class=""tone2"">qián</span> － now, at present}}","<span class=""tone1"">当</span><span class=""tone2"">时</span>{{c1:: － <span class=""tone1"">dāng</span><span class=""tone2"">shí</span> － at that time}}",,,"她想<span class=""highlight"">当</span>老师。",She wants to become a teacher.,Tā xiǎng dāng lǎoshī.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24403.gif"" alt=""当""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-081dde03-ae543d9e-8e4b6f05-d0b671ca-3739931b.wav,dāng,dāng,Tone 1 ( ̄)
234,呢,"<span class=""tone5"">呢</span>","<span class=""tone5"">ne</span><!--ne-->",how about...?,"<span class=""tone3"">你</span><span class=""tone5"">呢</span>{{c1:: - How about you?}}",,,,,"你<span class=""highlight"">呢</span>？",How about you?,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21602.gif"" alt=""呢""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-468bf6b8-8c68312d-90c28550-008b08ef-963c23e4.wav,ne,ne,Tone 5 (neutral)
235,户,"<span class=""tone4"">户</span>","<span class=""tone4"">hù</span><!--hu-->",door; family; household; {MW} household,"<span class=""tone4"">用</span><span class=""tone4"">户</span>{{c1:: － <span class=""tone4"">yòng</span><span class=""tone4"">hù</span> － user}}","<span class=""tone4"">账</span><span class=""tone4"">户</span>{{c1:: － <span class=""tone4"">zhàng</span><span class=""tone4"">hù</span> － account}}",,,,"这里有几<span class=""highlight"">户</span>人家。",There are a few households here.,Zhèli yǒu jǐ hù rénjiā.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25143.gif"" alt=""户""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-ccbfb7c3-c0f1779c-cc07002b-dc45ea38-2072528b.wav,hù,hù,Tone 4 ( ̀)
236,所,"<span class=""tone3"">所</span>","<span class=""tone3"">suǒ</span><!--suo-->","{MW} Institutions, houses; place","<span class=""tone3"">所</span><span class=""tone3"">以</span>{{c1:: － <span class=""tone3"">suǒ</span><span class=""tone3"">yǐ</span> － therefore; so}}","<span class=""tone3"">所</span><span class=""tone3"">有</span>{{c1:: － <span class=""tone3"">suǒ</span><span class=""tone3"">yǒu</span> － all}}",,,,"在会议上大家都畅<span class=""highlight"">所</span>欲言。",Everybody spoke out freely at the meeting.,Zài huìyì shàng dàjiā dōu chàng suǒ yù yán.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25152.gif"" alt=""所""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-7b416057-db64fadc-72e3f3c4-ad1ff8ce-69012e58.wav,suǒ,suǒ,Tone 3 ( ̌)
237,己,"<span class=""tone3"">己</span>","<span class=""tone3"">jǐ</span><!--ji-->",oneself; one's own; personal,"<span class=""tone4"">自</span><span class=""tone3"">己</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone3"">jǐ</span> － self; one's own}}","<span class=""tone4"">利</span><span class=""tone3"">己</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone3"">jǐ</span> － selfish}}",,,,"她纵容自<span class=""highlight"">己</span>吃甜食。",She indulged herself by eating some sweets.,Tā zòngróng zìjǐ chī tiánshí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24049.gif"" alt=""己""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-32df9aef-83062e10-7e841718-f2d71a03-8b9aab44.wav,jǐ,jǐ,Tone 3 ( ̌)
238,记,"<span class=""tone4"">记</span>","<span class=""tone4"">jì</span><!--ji-->",to take note of; note down; to remember,"<span class=""tone4"">记</span><span class=""tone3"">者</span>{{c1:: － <span class=""tone4"">jì</span><span class=""tone3"">zhě</span> － reporter}}","<span class=""tone4"">日</span><span class=""tone4"">记</span>{{c1:: － <span class=""tone4"">rì</span><span class=""tone4"">jì</span> － diary}}","<span class=""tone4"">记</span><span class=""tone5"">的</span>{{c1:: － <span class=""tone4"">jì</span><span class=""tone5"">de</span> － remember}}",,,"她在<span class=""highlight"">记</span>事本上做<span class=""highlight"">记</span>录，以便<span class=""highlight"">记</span>忆。",She is writing down notes in her notebook to help her remember.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35760.gif"" alt=""记""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-23d63b38-bc97838a-c5f552a7-815dad27-ebaa72dc.wav,jì,jì,Tone 4 ( ̀)
239,纪,"<span class=""tone4"">纪</span>","<span class=""tone4"">jì</span><!--ji-->",discipline; write down; epoch,"<span class=""tone2"">年</span><span class=""tone4"">纪</span>{{c1:: － <span class=""tone2"">nián</span><span class=""tone4"">jì</span> － age}}","<span class=""tone4"">纪</span><span class=""tone4"">念</span>{{c1:: － <span class=""tone4"">jì</span><span class=""tone4"">niàn</span> － commemorate}}","<span class=""tone4"">世</span><span class=""tone4"">纪</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone4"">jì</span> － century}}","<span class=""tone4"">纪</span><span class=""tone4"">录</span>{{c1:: － <span class=""tone4"">jì</span><span class=""tone4"">lù</span> － to take notes/minutes}}",,"这支队伍很有<span class=""highlight"">纪</span>律。",This army is very disciplined.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32426.gif"" alt=""纪""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-4ba8e3d7-29e592eb-cadef9b2-a353ad38-a79203f0.wav,jì,jì,Tone 4 ( ̀)
240,已,"<span class=""tone3"">已</span>","<span class=""tone3"">yǐ</span><!--yi-->",already,"<span class=""tone3"">已</span><span class=""tone1"">经</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone1"">jīng</span> － already}}",,,,,"我<span class=""highlight"">已</span>经吃够了。",I've eaten enough.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24050.gif"" alt=""已""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-8badfde0-06ee03f5-39cb1620-42d9f50c-23f3411c.wav,yǐ,yǐ,Tone 3 ( ̌)
241,走,"<span class=""tone3"">走</span>","<span class=""tone3"">zǒu</span><!--zou-->",to go by way of; to walk,"<span class=""tone3"">走</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone3"">zǒu</span><span class=""tone4"">dào</span> － footpath; sidewalk}}","<span class=""tone3"">走</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone3"">zǒu</span><span class=""tone4"">dòng</span> － to stretch one's legs}}",,,,"风把气球吹<span class=""highlight"">走</span>了。",The wind has blown the balloon away.,Fēng bǎ qìqiú chuīzǒu le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36208.gif"" alt=""走""style=""width:75px;height:75px;""/>",17 CharSet,data/sounds/oddcast-a71cf456-45b3cc4b-203a99af-92b21bd2-9b876bac.wav,zǒu,zǒu,Tone 3 ( ̌)
