一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
法	"<span class=""tone3"">法</span>"	"<span class=""tone3"">fǎ</span><!--fa-->"	Law; France	"<span class=""tone3"">法</span><span class=""tone4"">律</span>{{c1:: － <span class=""tone3"">fǎ</span><span class=""tone4"">lǜ</span> － law}}"	"<span class=""tone3"">法</span><span class=""tone2"">文</span>{{c1:: － <span class=""tone3"">fǎ</span><span class=""tone2"">wén</span> － French}}"	"<span class=""tone3"">语</span><span class=""tone3"">法</span>{{c1:: － <span class=""tone3"">yǔ</span><span class=""tone3"">fǎ</span> － grammar}}"			"枉<span class=""highlight"">法</span>者被抓获了。"	The man who broke the law has been captured.	Wǎngfǎzhě bèi zhuāhuò le.	[sound:oddcast-e249b522-aae4232e-2e07bbea-464c461f-02c033a5.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27861.gif"" alt=""法""style=""width:75px;height:75px;""/>"	7 CharSet
取	"<span class=""tone3"">取</span>"	"<span class=""tone3"">qǔ</span><!--qu-->"	aquire	"<span class=""tone3"">取</span><span class=""tone1"">消</span>{{c1:: － <span class=""tone3"">qǔ</span><span class=""tone1"">xiāo</span> － to cancell something}}"	"<span class=""tone4"">进</span><span class=""tone3"">取</span>{{c1:: － <span class=""tone4"">jìn</span><span class=""tone3"">qǔ</span> － to press forward}}"	"<span class=""tone3"">取</span><span class=""tone2"">得</span>{{c1:: － <span class=""tone3"">qǔ</span><span class=""tone2"">dé</span> － to aquire; to get to obtain}}"	"<span class=""tone3"">取</span><span class=""tone3"">暖</span>{{c1:: － <span class=""tone3"">qǔ</span><span class=""tone3"">nuǎn</span> － to warm oneself}}"	"<span class=""tone2"">提</span><span class=""tone3"">取</span>{{c1:: － <span class=""tone2"">tí</span><span class=""tone3"">qǔ</span> － to withdrawl (money); to extract}}"	"奶油是从乳脂中提<span class=""highlight"">取</span>而成的 。"	Butter is made from cream.		[sound:oddcast-dfa72d76-acd6ed98-0075fe65-534cfdf5-d2859cc7.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21462.gif"" alt=""取""style=""width:75px;height:75px;""/>"	7 CharSet
千	"<span class=""tone1"">千</span>"	"<span class=""tone1"">qiān</span><!--qian-->"	thousand	"<span class=""tone1"">千</span><span class=""tone2"">年</span>{{c1:: － <span class=""tone1"">qiān</span><span class=""tone2"">nián</span> － millennium}}"	"<span class=""tone4"">万</span><span class=""tone1"">千</span>{{c1:: － <span class=""tone4"">wàn</span><span class=""tone1"">qiān</span> － myriad}}"				"我有一<span class=""highlight"">千</span>美金。"	I've got one thousand U.	Wǒ yǒu yīqiān Měijīn.	[sound:oddcast-cf3180bc-1f10523a-6fbe0c2f-33576b05-b34b3b6e.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21315.gif"" alt=""千""style=""width:75px;height:75px;""/>"	7 CharSet
前	"<span class=""tone2"">前</span>"	"<span class=""tone2"">qián</span><!--qian-->"	before; in front of	"<span class=""tone2"">前</span><span class=""tone5"">边</span>{{c1:: － <span class=""tone2"">qián</span><span class=""tone5"">bian</span> － front}}"	"<span class=""tone2"">提</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone2"">tí</span><span class=""tone2"">qián</span> － in advance}}"	"<span class=""tone3"">以</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone3"">yǐ</span><span class=""tone2"">qián</span> － before}}"			"新电影进了排行榜的<span class=""highlight"">前</span>十名。"	The new movie has moved into the top ten list.	Xīn diànyǐng jìnle páihángbǎng de qián shí míng.	[sound:oddcast-28f24ab6-f111e43d-66098eee-36b91a48-c89affd0.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21069.gif"" alt=""前""style=""width:75px;height:75px;""/>"	7 CharSet
安	"<span class=""tone1"">安</span>"	"<span class=""tone1"">ān</span><!--an-->"	peace	"<span class=""tone1"">天</span><span class=""tone1"">安</span><span class=""tone2"">门</span>{{c1:: － <span class=""tone1"">tiān</span><span class=""tone1"">ān</span><span class=""tone2"">mén</span> － Tian'anmen square}}"	"<span class=""tone1"">安</span><span class=""tone4"">静</span>{{c1:: － <span class=""tone1"">ān</span><span class=""tone4"">jìng</span> － quiet}}"	"<span class=""tone1"">安</span><span class=""tone2"">全</span>{{c1:: － <span class=""tone1"">ān</span><span class=""tone2"">quán</span> － safety}}"			"图书馆里很<span class=""highlight"">安</span>静。"	It's quiet in the library.	Túshūguǎn lǐ hěn ānjìng.	[sound:oddcast-4fd806c8-bf963a81-c087f9fe-082e6cc5-88838c5a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23433.gif"" alt=""安""style=""width:75px;height:75px;""/>"	8 CharSet
字	"<span class=""tone4"">字</span>"	"<span class=""tone4"">zì</span><!--zi-->"	word; chinese character	"<span class=""tone4"">字</span><span class=""tone3"">典</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone3"">diǎn</span> － dictionary}}"	"<span class=""tone4"">字</span><span class=""tone3"">母</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone3"">mǔ</span> － alphabet}}"	"<span class=""tone4"">字</span><span class=""tone4"">幕</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone4"">mù</span> － subtitles; captions}}"	"<span class=""tone4"">汉</span><span class=""tone3"">子</span>{{c1:: － <span class=""tone4"">hàn</span><span class=""tone3"">zǐ</span> － Chinese characters}}"		"你这个<span class=""highlight"">字</span>写的不对。"	You wrote this character incorrectly.	nǐ zhè ge zì xiě de bù duì 。<!--ni zhe ge zi xie de bu dui 。-->	[sound:oddcast-e5fa6588-4cba7c05-40fcc3b7-23664266-aaa2de49.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23383.gif"" alt=""字""style=""width:75px;height:75px;""/>"	8 CharSet
目	"<span class=""tone4"">目</span>"	"<span class=""tone4"">mù</span><!--mu-->"	eye	"<span class=""tone4"">目</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone4"">mù</span><span class=""tone2"">qián</span> － currently}}"	"<span class=""tone4"">项</span><span class=""tone4"">目</span>{{c1:: － <span class=""tone4"">xiàng</span><span class=""tone4"">mù</span> － project}}"	"<span class=""tone2"">节</span><span class=""tone4"">目</span>{{c1:: － <span class=""tone2"">jié</span><span class=""tone4"">mù</span> － program}}"			"我们到达了<span class=""highlight"">目</span>的地。"	We've arrived at our destination.	Wǒmen dàodále mùdìdì.	[sound:oddcast-58f9fb56-5b57d7ef-b682a0f6-d9fc96a5-2a3feee4.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30446.gif"" alt=""目""style=""width:75px;height:75px;""/>"	8 CharSet
自	"<span class=""tone4"">自</span>"	"<span class=""tone4"">zì</span><!--zi-->"	self; oneself; one's own	"<span class=""tone4"">自</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone4"">dòng</span> － automatic}}"	"<span class=""tone4"">自</span><span class=""tone2"">行</span><span class=""tone1"">车</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone2"">xíng</span><span class=""tone1"">chē</span> － bicycle}}"	"<span class=""tone4"">自</span><span class=""tone2"">由</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone2"">yóu</span> － freedom}}"			"她在享受<span class=""highlight"">自</span>然的空气。"	She's enjoying the fresh air.	Tā zài xiǎngshòu zìrán de kōngqì.	[sound:oddcast-87f5b2b4-9d3a494c-bb173902-365f1db5-9befec0c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/33258.gif"" alt=""自""style=""width:75px;height:75px;""/>"	8 CharSet
咱	"<span class=""tone2"">咱</span>"	"<span class=""tone2"">zán</span><!--zan-->"	we	"<span class=""tone2"">咱</span><span class=""tone5"">们</span>{{c1:: － <span class=""tone2"">zán</span><span class=""tone5"">men</span> － we}}"					"<span class=""highlight"">咱</span>们把表校准吧。"	Let's synchronize our watches.		[sound:oddcast-db0a6830-523f9c7a-b173fc93-d8464646-bce64cbd.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21681.gif"" alt=""咱""style=""width:75px;height:75px;""/>"	8 CharSet
阳	"<span class=""tone2"">阳</span>"	"<span class=""tone2"">yáng</span><!--yang-->"	in the open	"<span class=""tone4"">太</span><span class=""tone5"">阳</span>{{c1:: － <span class=""tone4"">tài</span><span class=""tone5"">yang</span> － sun}}"	"<span class=""tone1"">阴</span><span class=""tone2"">阳</span>{{c1:: － <span class=""tone1"">yīn</span><span class=""tone2"">yáng</span> － yin and yang}}"	"<span class=""tone2"">阳</span><span class=""tone1"">光</span>{{c1:: － <span class=""tone2"">yáng</span><span class=""tone1"">guāng</span> － sunlight}}"			"太<span class=""highlight"">阳</span>出来了。"	The sun has risen.	Tàiyáng chūlái le.	[sound:oddcast-83b8aa0a-1b25a8eb-1693ae19-6711e3d8-383c79f7.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38451.gif"" alt=""阳""style=""width:75px;height:75px;""/>"	8 CharSet
阴	"<span class=""tone1"">阴</span>"	"<span class=""tone1"">yīn</span><!--yin-->"	hidden	"<span class=""tone1"">阴</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">yīn</span><span class=""tone1"">tiān</span> － cloudy day}}"	"<span class=""tone1"">阴</span><span class=""tone3"">影</span>{{c1:: － <span class=""tone1"">yīn</span><span class=""tone3"">yǐng</span> － shadow}}"				"天气<span class=""highlight"">阴</span>沉。"	The weather is cloudy.	Tiānqì yīnchén.	[sound:oddcast-068c881f-7860067f-e33b6bc4-079f02b1-39f7958d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38452.gif"" alt=""阴""style=""width:75px;height:75px;""/>"	8 CharSet
那	"<span class=""tone4"">那</span>"	"<span class=""tone4"">nà</span><!--na-->"	that; in that case	"<span class=""tone4"">那</span><span class=""tone5"">个</span>{{c1:: － <span class=""tone4"">nà</span><span class=""tone5"">ge</span> － that one}}"	"<span class=""tone4"">那</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone4"">nà</span><span class=""tone5"">me</span> － in that way}}"	"<span class=""tone4"">那</span><span class=""tone5"">边</span>{{c1:: － <span class=""tone4"">nà</span><span class=""tone5"">bian</span> － over there}}"	"<span class=""tone2"">从</span><span class=""tone4"">那</span><span class=""tone5"">儿</span><span class=""tone3"">起</span>{{c1:: － <span class=""tone2"">cóng</span><span class=""tone4"">nà</span><span class=""tone5"">r5</span><span class=""tone3"">qǐ</span> － since then}}"		"<span class=""highlight"">那</span>是谁？"	Who is that?	nà shi shuí ？<!--na shi shui ？-->	[sound:oddcast-2a74393f-913b4e14-1a586772-706acfab-d1064b03.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/37027.gif"" alt=""那""style=""width:75px;height:75px;""/>"	8 CharSet
哪	"<span class=""tone3"">哪</span>"	"<span class=""tone3"">nǎ</span><!--na-->"	which	"<span class=""tone3"">哪</span><span class=""tone5"">儿</span>{{c1:: － <span class=""tone3"">nǎ</span><span class=""tone5"">r5</span> － where?}}"	"<span class=""tone3"">哪</span><span class=""tone3"">里</span>{{c1:: － <span class=""tone3"">nǎ</span><span class=""tone3"">lǐ</span> － where?}}"	"<span class=""tone4"">那</span><span class=""tone1"">些</span>{{c1:: － <span class=""tone4"">nà</span><span class=""tone1"">xiē</span> － which ones?}}<br />"	"<span class=""tone3"">哪</span><span class=""tone2"">国</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone3"">nǎ</span><span class=""tone2"">guó</span><span class=""tone2"">rén</span> － which country?}}"		"<span class=""highlight"">哪</span>个比较大？"	Which is bigger?	Nǎge bǐjiào dà?	[sound:oddcast-a7b89499-c27fbedf-1896240e-6193fd5d-49c9aec5.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21738.gif"" alt=""哪""style=""width:75px;height:75px;""/>"	8 CharSet
西	"<span class=""tone1"">西</span>"	"<span class=""tone1"">xī</span><!--xi-->"	west	"<span class=""tone1"">西</span><span class=""tone1"">边</span>{{c1:: － <span class=""tone1"">xī</span><span class=""tone1"">biān</span> － the west side}}"	"<span class=""tone1"">东</span><span class=""tone5"">西</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone5"">xi</span> － thing}}"	"<span class=""tone1"">西</span><span class=""tone4"">部</span>{{c1:: － <span class=""tone1"">xī</span><span class=""tone4"">bù</span> － western part}}"			"孩子们爱吃<span class=""highlight"">西</span>瓜。"	Children love watermelon.	Háizimen ài chī xīguā.	[sound:oddcast-1272f350-378a6942-c606c70f-38caa74b-fda47bdb.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35199.gif"" alt=""西""style=""width:75px;height:75px;""/>"	8 CharSet
要	"<span class=""tone4"">要</span>"	"<span class=""tone4"">yào</span><!--yao-->"	to want; to order; will be; to want to; to have a desire to	"<span class=""tone4"">不</span><span class=""tone4"">要</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone4"">yào</span> － do not}}"	"<span class=""tone4"">要</span><span class=""tone5"">是</span>{{c1:: － <span class=""tone4"">yào</span><span class=""tone5"">shi</span> － if}}"	"<span class=""tone4"">重</span><span class=""tone4"">要</span>{{c1:: － <span class=""tone4"">zhòng</span><span class=""tone4"">yào</span> － important}}"			"他想<span class=""highlight"">要</span>颠覆政府。"	He wants to overthrow the government.	Tā xiǎngyào diānfù zhèngfǔ.	[sound:oddcast-b2e4addf-58c90b1d-b9762741-5aceb885-99a2ea71.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35201.gif"" alt=""要""style=""width:75px;height:75px;""/>"	8 CharSet
酒	"<span class=""tone3"">酒</span>"	"<span class=""tone3"">jiǔ</span><!--jiu-->"	liquor	"<span class=""tone3"">酒</span><span class=""tone1"">杯</span>{{c1:: － <span class=""tone3"">jiǔ</span><span class=""tone1"">bēi</span> － wineglass}}"	"<span class=""tone3"">酒</span><span class=""tone4"">店</span>{{c1:: － <span class=""tone3"">jiǔ</span><span class=""tone4"">diàn</span> － hotels}}"	"<span class=""tone2"">白</span><span class=""tone3"">酒</span>{{c1:: － <span class=""tone2"">bái</span><span class=""tone3"">jiǔ</span> － spirit}}"			"<span class=""highlight"">酒</span>瓶空了。"	The wine bottles are empty.	Jiǔpíng kōng le.	[sound:oddcast-212b1245-a83a7897-18da6889-f26405b7-0b7363a2.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/37202.gif"" alt=""酒""style=""width:75px;height:75px;""/>"	8 CharSet
从	"<span class=""tone2"">从</span>"	"<span class=""tone2"">cóng</span><!--cong-->"	from; via; through	"<span class=""tone2"">从</span><span class=""tone2"">前</span>{{c1:: － <span class=""tone2"">cóng</span><span class=""tone2"">qián</span> － in the past}}"	"<span class=""tone4"">自</span><span class=""tone2"">从</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone2"">cóng</span> － since}}"				"我们<span class=""highlight"">从</span>基础开始学习。"	We'll begin our studies with the basics.	Wǒmen cóng jīchǔ kāishǐ xuéxí.	[sound:oddcast-5deed980-610d9170-8d74391f-2076ccd9-3ce9b092.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20174.gif"" alt=""从"" style=""width:75px;height:75px;"">"	8 CharSet
村	"<span class=""tone1"">村</span>"	"<span class=""tone1"">cūn</span><!--cun-->"	village	"<span class=""tone1"">村</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone1"">cūn</span><span class=""tone5"">zi</span> － village}}"	"<span class=""tone1"">村</span><span class=""tone2"">民</span>{{c1:: － <span class=""tone1"">cūn</span><span class=""tone2"">mín</span> － villager}}"				"山脚下有一个<span class=""highlight"">村</span>庄。"	There's a village at the foot of the hill.	Shānjiǎo xià yǒu yī gè cūnzhuāng.	[sound:oddcast-4078dcf8-fd174c4d-dcaa4fd2-a897a7b3-15b4c41f.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26449.gif"" alt=""村""style=""width:75px;height:75px;""/>"	8 CharSet
时	"<span class=""tone2"">时</span>"	"<span class=""tone2"">shí</span><!--shi-->"	time	"<span class=""tone2"">时</span><span class=""tone1"">间</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone1"">jiān</span> － time (point or period)}}"	"<span class=""tone2"">时</span><span class=""tone5"">候</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone5"">hou</span> － time (point)}}"	"<span class=""tone2"">时</span><span class=""tone1"">机</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone1"">jī</span> － opportunity}}"	"<span class=""tone2"">时</span><span class=""tone2"">髦</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone2"">máo</span> － fashionable}}"		"大夫说要按<span class=""highlight"">时</span>吃药。"	The doctor said to take the medicine at the right time.	dà fū shuō yào àn shí chī yào 。<!--da fu shuo yao an shi chi yao 。-->	[sound:oddcast-804ff685-a2119e49-8c668f15-96cc0493-0ebd7328.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26102.gif"" alt=""时""style=""width:75px;height:75px;""/>"	8 CharSet
过	"<span class=""tone4"">过</span>"	"<span class=""tone4"">guò</span><!--guo-->"	to cross; to pass; past experience	"<span class=""tone4"">去</span><span class=""tone4"">过</span>{{c1:: － <span class=""tone4"">qù</span><span class=""tone4"">guò</span> － been to...}}"	"<span class=""tone4"">过</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone4"">guò</span><span class=""tone5"">lai</span> － come across}}"	"<span class=""tone4"">过</span><span class=""tone5"">去</span>{{c1:: － <span class=""tone4"">guò</span><span class=""tone5"">qu</span> － in the past}}"			"通<span class=""highlight"">过</span>运动可以燃烧脂肪。"	Exercising can burn fat.	Tōngguò yùndòng kěyǐ ránshāo zhīfáng.	[sound:oddcast-b218ec03-6001e2b4-c6151f00-be5b6524-9b922db8.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36807.gif"" alt=""过""style=""width:75px;height:75px;""/>"	8 CharSet
身	"<span class=""tone1"">身</span>"	"<span class=""tone1"">shēn</span><!--shen-->"	body	"<span class=""tone4"">动</span><span class=""tone1"">身</span>{{c1:: － <span class=""tone4"">dòng</span><span class=""tone1"">shēn</span> － set off (on a journey)}}"	"<span class=""tone1"">身</span><span class=""tone4"">份</span><span class=""tone4"">证</span>{{c1:: － <span class=""tone1"">shēn</span><span class=""tone4"">fèn</span><span class=""tone4"">zhèng</span> － id card}}"	"<span class=""tone1"">身</span><span class=""tone3"">体</span>{{c1:: － <span class=""tone1"">shēn</span><span class=""tone3"">tǐ</span> － body}}"			"斑马的全<span class=""highlight"">身</span>都是黑白相间的。"	The body of a zebra is covered with alternating stripes of black and white.	Bānmǎ de quánshēn dōu shì hēi-bái xiāngjiàn de.	[sound:oddcast-6962690e-02d9d162-72cf9ce6-24d8a52e-fb6bca3b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36523.gif"" alt=""身""style=""width:75px;height:75px;""/>"	8 CharSet
谢	"<span class=""tone4"">谢</span>"	"<span class=""tone4"">xiè</span><!--xie-->"	thank	"<span class=""tone4"">谢</span><span class=""tone5"">谢</span>{{c1:: － <span class=""tone4"">xiè</span><span class=""tone5"">xie</span> － thank you}}"	"<span class=""tone1"">多</span><span class=""tone4"">谢</span>{{c1:: － <span class=""tone1"">duō</span><span class=""tone4"">xiè</span> － many thanks}}"	"<span class=""tone3"">感</span><span class=""tone4"">谢</span>{{c1:: － <span class=""tone3"">gǎn</span><span class=""tone4"">xiè</span> － thank}}"	"<span class=""tone4"">谢</span><span class=""tone1"">天</span><span class=""tone4"">谢</span><span class=""tone4"">地</span>{{c1:: － <span class=""tone4"">xiè</span><span class=""tone1"">tiān</span><span class=""tone4"">xiè</span><span class=""tone4"">dì</span> － thank heavens}}"		"不用<span class=""highlight"">谢</span>。"	Don't mention it.	bù yòng xiè 。<!--bu yong xie 。-->	[sound:oddcast-6401efa3-6d010f6c-b628b19e-36b3f11b-31631179.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35874.gif"" alt=""谢""style=""width:75px;height:75px;""/>"	8 CharSet
家	"<span class=""tone1"">家</span>"	"<span class=""tone1"">jiā</span><!--jia-->"	Family; Home; {MW} restaurants	"<span class=""tone1"">家</span><span class=""tone2"">庭</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">tíng</span> － family}}"	"<span class=""tone1"">家</span><span class=""tone2"">常</span><span class=""tone4"">菜</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">cháng</span><span class=""tone4"">cài</span> － home cooking}}"	"<span class=""tone1"">家</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">rén</span> － family (members)}}"	"<span class=""tone2"">人</span><span class=""tone5"">家</span>{{c1:: － <span class=""tone2"">rén</span><span class=""tone5"">jia</span> － other people}}"		"我今天晚上不在<span class=""highlight"">家</span>。"	I won't be home tonight	wǒ jīn tiān wǎn shang bù zài jiā 。<!--wo jin tian wan shang bu zai jia 。-->	[sound:oddcast-0a24b297-09b5606a-e3ab51de-fb5defca-1d5e923a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23478.gif"" alt=""家""style=""width:75px;height:75px;""/>"	9 CharSet
山	"<span class=""tone1"">山</span>"	"<span class=""tone1"">shān</span><!--shan-->"	mountain	"<span class=""tone3"">火</span><span class=""tone1"">山</span>{{c1:: － <span class=""tone3"">huǒ</span><span class=""tone1"">shān</span> － volcano}}"	"<span class=""tone3"">雪</span><span class=""tone1"">山</span>{{c1:: － <span class=""tone3"">xuě</span><span class=""tone1"">shān</span> － snow mountain}}"				"我和朋友们去登<span class=""highlight"">山</span>。"	My friends and I are going mountain climbing.	Wǒ hé péngyoumen qù dēngshān.	[sound:oddcast-fa480c86-29ec7b01-66e1db1e-8563fee0-ee634419.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23665.gif"" alt=""山""style=""width:75px;height:75px;""/>"	9 CharSet
羊	"<span class=""tone2"">羊</span>"	"<span class=""tone2"">yáng</span><!--yang-->"	sheep	"<span class=""tone3"">小</span><span class=""tone2"">羊</span>{{c1:: － <span class=""tone3"">xiǎo</span><span class=""tone2"">yáng</span> － lamb}}"	"<span class=""tone1"">山</span><span class=""tone2"">羊</span>{{c1:: － <span class=""tone1"">shān</span><span class=""tone2"">yáng</span> － goat}}"				"<span class=""highlight"">羊</span>在草地上吃草。"	The sheep are grazing in the meadow.	Yáng zài cǎodì shàng chī cǎo.	[sound:oddcast-7edf1f7e-caf7bde4-cce21e52-31b6af80-b9c42259.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32650.gif"" alt=""羊""style=""width:75px;height:75px;""/>"	9 CharSet
样	"<span class=""tone4"">样</span>"	"<span class=""tone4"">yàng</span><!--yang-->"	appearance; shape; sample; kind	"<span class=""tone4"">样</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone4"">yàng</span><span class=""tone5"">zi</span> － style; appearance}}"	"<span class=""tone1"">一</span><span class=""tone4"">样</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">yàng</span> － the same}}"	"<span class=""tone1"">花</span><span class=""tone4"">样</span>{{c1:: － <span class=""tone1"">huā</span><span class=""tone4"">yàng</span> － variety}}"			"几年没见面，他还是那个<span class=""highlight"">样</span>。"	I haven't seen him in years, but he still looks the same.	jǐ nián méi jiàn miàn ， tā hái shi nà ge yàng 。<!--ji nian mei jian mian ， ta hai shi na ge yang 。-->	[sound:oddcast-b03c3160-ed1503b8-aadb57b6-7df8f534-94b29e38.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26679.gif"" alt=""样""style=""width:75px;height:75px;""/>"	9 CharSet
班	"<span class=""tone1"">班</span>"	"<span class=""tone1"">bān</span><!--ban-->"	team; class; work	"<span class=""tone4"">上</span><span class=""tone1"">班</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone1"">bān</span> － go to work}}"	"<span class=""tone4"">下</span><span class=""tone1"">班</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone1"">bān</span> － get off work}}"				"地铁间隔五分钟一<span class=""highlight"">班</span>。"	The subway comes every five minutes.	Dìtiě jiàngé wǔ fēnzhōng yī bān.	[sound:oddcast-e96fb31f-edb635b7-734d0fa8-5a838edb-4444465c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29677.gif"" alt=""班""style=""width:75px;height:75px;""/>"	9 CharSet
出	"<span class=""tone1"">出</span>"	"<span class=""tone1"">chū</span><!--chu-->"	exit	"<span class=""tone5"">出</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone5"">chu</span><span class=""tone5"">lai</span> － come out}}"	"<span class=""tone1"">出</span><span class=""tone3"">口</span>{{c1:: － <span class=""tone1"">chū</span><span class=""tone3"">kǒu</span> － export}}"				"他怀疑事情<span class=""highlight"">出</span>了问题。"	He suspects something has gone wrong.	Tā huáiyí shìqing chūle wèntí.	[sound:oddcast-4fc2cb4e-b7250835-cddfe0f3-5dad257b-1fc2ecd3.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20986.gif"" alt=""出""style=""width:75px;height:75px;""/>"	9 CharSet
石	"<span class=""tone2"">石</span>"	"<span class=""tone2"">shí</span><!--shi-->"	stone	"<span class=""tone2"">石</span><span class=""tone2"">油</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone2"">yóu</span> － oil}}"	"<span class=""tone3"">宝</span><span class=""tone2"">石</span>{{c1:: － <span class=""tone3"">bǎo</span><span class=""tone2"">shí</span> － gem}}"				"这是蒋介<span class=""highlight"">石</span>纪念堂。"	This is the Chiang Kai-shek Memorial Hall.	Zhè shì Jiǎng Jièshí jìniàntáng.	[sound:oddcast-7325003b-98a06bb0-ecff076e-2af6e023-11e6b65a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30707.gif"" alt=""石""style=""width:75px;height:75px;""/>"	9 CharSet
